net,length_um
_0008_,6.06
_0449_,6.06
_0458_,6.06
mem\[1\]\[7\],6.04
_0192_,6.005
wr_data[2],5.97
_0114_,5.96
mem\[9\]\[7\],5.96
_0049_,5.92
_0001_,5.85
_0014_,5.85
_0513_,5.84
mem\[1\]\[0\],5.84
_0524_,5.82
wr_ptr_gray_sync2\[2\],5.82
_0134_,5.775
_0156_,5.765
_0244_,5.74
_0136_,5.725
_0443_,5.72
_0430_,5.68
_0095_,5.605
mem\[4\]\[4\],5.6
mem\[8\]\[1\],5.6
_0171_,5.58
_0213_,5.58
_0243_,5.58
_0004_,5.56
_0051_,5.5
_0046_,5.46
mem\[15\]\[5\],5.46
mem\[9\]\[5\],5.46
_0433_,5.38
_0498_,5.38
mem\[8\]\[3\],5.365
_0285_,5.34
_0427_,5.34
_0463_,5.34
_0539_,5.34
_0542_,5.34
_0214_,5.26
_0281_,5.26
_0475_,5.26
_0507_,5.26
wr_ptr_gray_sync2\[0\],5.26
_0142_,5.245
_0448_,5.22
_0485_,5.22
_0519_,5.22
_0545_,5.22
mem\[2\]\[6\],5.16
_0129_,5.135
_0111_,5.115
_0037_,5.1
_0330_,5.02
_0343_,5
_0021_,4.99
_0017_,4.93
_0070_,4.92
_0306_,4.92
_0521_,4.92
_0518_,4.88
_0541_,4.88
_0135_,4.845
_0450_,4.8
_0512_,4.8
net22,4.8
_0227_,4.76
_0234_,4.76
mem\[0\]\[6\],4.68
wr_data[1],4.61
_0263_,4.6
_0143_,4.585
rd_ptr_gray_sync1\[4\],4.58
_0053_,4.54
rd_ptr_gray_sync1\[3\],4.54
_0123_,4.505
_0132_,4.505
_0354_,4.48
_0265_,4.46
_0397_,4.46
_0525_,4.46
mem\[10\]\[0\],4.46
mem\[8\]\[2\],4.46
mem\[8\]\[6\],4.46
_0182_,4.425
_0233_,4.42
_0447_,4.42
_0141_,4.36
_0050_,4.34
_0212_,4.34
_0325_,4.34
_0487_,4.34
mem\[13\]\[0\],4.34
mem\[13\]\[1\],4.34
_0118_,4.265
_0319_,4.24
_0328_,4.24
_0216_,4.23
mem\[3\]\[0\],4.215
_0041_,4.15
mem\[3\]\[6\],4.12
_0034_,4.07
_0502_,4
_0104_,3.965
rd_empty,3.93
wr_full,3.93
_0152_,3.925
_0181_,3.925
_0062_,3.88
_0315_,3.88
_0117_,3.865
_0150_,3.805
_0154_,3.805
_0307_,3.78
_0088_,3.705
_0023_,3.69
_0067_,3.66
_0359_,3.56
_0235_,3.54
_0347_,3.54
_0349_,3.54
_0371_,3.54
_0421_,3.54
mem\[10\]\[6\],3.54
_0109_,3.505
_0190_,3.505
_0116_,3.465
_0122_,3.465
_0146_,3.465
_0329_,3.44
_0504_,3.42
_0084_,3.405
_0184_,3.405
_0175_,3.345
_0189_,3.345
_0093_,3.34
_0125_,3.34
_0140_,3.32
_0288_,3.32
_0245_,3.315
_0031_,3.3
_0048_,3.3
_0080_,3.245
_0176_,3.245
_0009_,3.23
_0124_,3.225
_0246_,3.22
_0047_,3.2
_0066_,3.2
mem\[14\]\[0\],3.2
_0113_,3.175
_0178_,3.145
_0157_,3.125
_0159_,3.125
_0304_,3.1
_0335_,3.08
_0368_,3.08
_0515_,3.08
_0179_,3.075
_0092_,3.045
_0187_,3.045
_0145_,3.005
_0183_,3.005
_0229_,2.98
_0484_,2.98
_0220_,2.96
_0429_,2.96
_0465_,2.96
_0467_,2.96
_0508_,2.96
_0106_,2.885
_0115_,2.885
_0188_,2.88
_0161_,2.86
_0000_,2.84
_0010_,2.84
_0016_,2.84
_0042_,2.84
_0063_,2.84
_0082_,2.835
_0069_,2.74
_0186_,2.735
_0079_,2.715
_0090_,2.715
_0139_,2.715
_0119_,2.705
_0054_,2.64
_0363_,2.64
_0036_,2.62
_0230_,2.62
_0240_,2.62
_0273_,2.62
_0293_,2.62
_0310_,2.62
_0460_,2.62
net29,2.62
_0089_,2.585
_0102_,2.545
_0131_,2.545
_0167_,2.545
_0231_,2.52
_0270_,2.52
_0369_,2.52
_0466_,2.52
_0528_,2.52
_0274_,2.5
_0419_,2.5
net24,2.5
_0076_,2.485
_0085_,2.485
_0164_,2.485
_0172_,2.485
_0087_,2.42
_0103_,2.42
_0105_,2.42
_0163_,2.42
_0007_,2.38
_0029_,2.38
_0039_,2.38
_0193_,2.375
_0195_,2.375
_0097_,2.325
_0098_,2.325
_0099_,2.325
_0127_,2.325
_0133_,2.325
_0137_,2.325
_0138_,2.325
_0158_,2.325
_0169_,2.325
_0056_,2.3
_0075_,2.255
_0191_,2.255
_0002_,2.23
_0003_,2.23
_0011_,2.23
_0012_,2.23
_0015_,2.23
_0020_,2.23
_0026_,2.23
_0027_,2.23
_0043_,2.23
_0044_,2.23
_0060_,2.18
_0061_,2.18
_0242_,2.18
_0059_,2.16
_0262_,2.16
_0283_,2.16
_0391_,2.16
_0412_,2.16
rd_ptr_gray_sync1\[0\],2.16
_0074_,2.125
_0077_,2.125
_0168_,2.125
_0268_,2.06
_0389_,2.06
_0407_,2.06
_0436_,2.06
_0477_,2.06
_0517_,2.06
_0527_,2.06
_0005_,2.04
_0301_,2.04
_0312_,2.04
_0083_,2.025
_0094_,2.025
_0108_,2.025
_0147_,2.025
_0160_,2.025
_0165_,2.025
_0180_,2.025
_0196_,2.025
_0199_,2.025
_0081_,1.865
_0112_,1.865
_0144_,1.865
_0155_,1.865
_0173_,1.865
_0174_,1.865
_0177_,1.865
_0185_,1.865
_0194_,1.865
_0071_,1.84
_0239_,1.84
_0024_,1.82
_0045_,1.82
_0055_,1.82
_0065_,1.82
_0006_,1.75
_0038_,1.7
_0058_,1.7
_0337_,1.7
_0417_,1.7
_0399_,1.6
_0446_,1.6
_0476_,1.6
_0107_,1.575
_0126_,1.575
_0101_,1.405
_0110_,1.405
net21,1.38
net25,1.38
_0033_,1.36
_0035_,1.36
_0040_,1.36
_0068_,1.36
_0248_,1.36
_0217_,1.14
_0395_,1.14
_0406_,1.14
_0416_,1.14
_0423_,1.14
_0431_,1.14
_0442_,1.14
_0445_,1.14
_0462_,1.14
_0469_,1.14
_0470_,1.14
_0490_,1.14
_0496_,1.14
_0499_,1.14
_0523_,1.14
_0540_,1.14
net23,0.92
net26,0.92
_0324_,0.46
_0357_,0.46
net27,0.46
net28,0.46
